feature,mean_abs_shap
overall_approval_rate,0.16408859472710646
total_approved_units,0.056845443091849794
Age at enrollment,0.04025102513728399
average_grade,0.03704375470259414
Scholarship holder,0.03358931099353041
Tuition fees up to date,0.02829298325604829
engagement_index,0.026980179372124047
grade_change,0.0250468697666514
financial_pressure,0.020152721227350342
Unemployment rate,0.01805404602601765
GDP,0.017350579955451258
Inflation rate,0.01546829153479336
Gender,0.012182835476827835
Debtor,0.007166711535587326
fail_ratio_1st,0.005355295178373877
Marital status,0.004872337857815977
fail_ratio_2nd,0.0038365633273245462
International,0.0018608086321166006
